,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
01-Apr-14,8.812816647,7.895659446,9.025116207
02-Apr-14,8.819068068,7.902679726,9.032724526
03-Apr-14,8.816380326,7.899706206,9.029780862
04-Apr-14,8.811524111,7.895201343,9.026028035
07-Apr-14,8.811482389,7.894586484,9.02543508
09-Apr-14,8.826649476,7.909199329,9.040229165
10-Apr-14,8.82920586,7.912005605,9.043149369
11-Apr-14,8.825747907,7.909136878,9.04085014
15-Apr-14,8.818402359,7.902228528,9.034270036
16-Apr-14,8.80928652,7.893322042,9.025143887
17-Apr-14,8.824692597,7.907997377,9.039754877
21-Apr-14,8.831171468,7.914270553,9.046428708
22-Apr-14,8.830864596,7.913919621,9.046091712
23-Apr-14,8.834055839,7.917066298,9.049242785
25-Apr-14,8.826345617,7.910322785,9.04263744
28-Apr-14,8.824524938,7.90900829,9.041674352
29-Apr-14,8.817100727,7.901988052,9.03505679
30-Apr-14,8.812152719,7.896571303,9.029076256
02-May-14,8.812593402,7.897597543,9.030200035
05-May-14,8.813370081,7.898281118,9.030529261
06-May-14,8.815359611,7.900388342,9.032734081
07-May-14,8.806825361,7.892687354,9.025698525
08-May-14,8.807114255,7.892959946,9.026159087
09-May-14,8.836036665,7.919806998,9.051438423
12-May-14,8.857758469,7.939917888,9.07033665
13-May-14,8.873106645,7.955172514,9.085526301
14-May-14,8.875461865,7.958440531,9.089134987
15-May-14,8.876135363,7.958027802,9.088208896
16-May-14,8.890119956,7.971786475,9.101659907
19-May-14,8.905544694,7.988644776,9.121020514
20-May-14,8.906401538,7.99101363,9.12547832
21-May-14,8.903741839,7.990261898,9.126080116
22-May-14,8.908689184,7.996933204,9.134129729
23-May-14,8.92272763,8.010907248,9.148290485
26-May-14,8.919117371,8.005673994,9.141710292
27-May-14,8.912302193,7.998839301,9.134981926
28-May-14,8.914487677,8.00111044,9.137749249
29-May-14,8.901860858,7.9895435,9.126862019
30-May-14,8.901791426,7.989970535,9.127611811
02-Jun-14,8.920308875,8.008402163,9.146276405
03-Jun-14,8.927846153,8.015733569,9.153631387
04-Jun-14,8.928088861,8.017343775,9.15659882
05-Jun-14,8.93811949,8.027332917,9.166665353
06-Jun-14,8.953329751,8.042185061,9.181510764
09-Jun-14,8.963956341,8.052837582,9.193093496
10-Jun-14,8.962992495,8.052016295,9.192245645
11-Jun-14,8.955897054,8.044937428,9.185140506
12-Jun-14,8.958654589,8.048257791,9.188439284
13-Jun-14,8.941706394,8.030767454,9.170185863
16-Jun-14,8.941690696,8.030939848,9.17061257
17-Jun-14,8.955556504,8.044411306,9.184438804
18-Jun-14,8.945369112,8.034848119,9.175362724
19-Jun-14,8.941814967,8.031079692,9.171847954
20-Jun-14,8.937909408,8.026885625,9.167710494
23-Jun-14,8.936241627,8.026042736,9.167425564
24-Jun-14,8.948947036,8.03867663,9.180108974
25-Jun-14,8.947950407,8.038421636,9.180185242
26-Jun-14,8.938405656,8.030224058,9.17238302
27-Jun-14,8.940585968,8.032850447,9.174910066
30-Jun-14,8.954500577,8.046997544,9.189253601
01-Jul-14,8.958205607,8.051226204,9.193821687
02-Jul-14,8.970571889,8.063406159,9.205930663
03-Jul-14,8.968829163,8.062082904,9.204588864
04-Jul-14,8.973161282,8.066436741,9.20913865
07-Jul-14,8.976688046,8.070074493,9.212693601
08-Jul-14,8.951328681,8.044103204,9.185923696
09-Jul-14,8.945008007,8.036880607,9.177956633
10-Jul-14,8.944941508,8.037375158,9.178913686
11-Jul-14,8.927156169,8.019244305,9.16007497
14-Jul-14,8.928140578,8.020060063,9.160221125
15-Jul-14,8.939577034,8.032051559,9.172789065
16-Jul-14,8.952051392,8.044440186,9.185473744
