Date,Open,High,Low,Close
07/03/24, 18181.71, 18395.60, 18181.71, 18374.53
07/02/24, 18286.86, 18286.86, 18030.49, 18164.06
07/01/24, 18236.35, 18460.72, 18236.27, 18290.66
06/28/24, 18211.97, 18352.65, 18198.10, 18235.45
06/27/24, 18154.97, 18265.52, 18141.28, 18210.55
06/26/24, 18176.80, 18363.39, 18045.54, 18155.24
06/25/24, 18300.42, 18307.61, 18075.75, 18177.62
06/24/24, 18165.54, 18354.71, 18165.54, 18325.58
06/21/24, 18254.57, 18257.94, 18090.04, 18163.52
06/20/24, 18068.67, 18254.18, 18068.58, 18254.18
06/19/24, 18131.35, 18148.01, 18055.63, 18067.91
06/18/24, 18073.44, 18214.20, 18073.24, 18131.97
06/17/24, 18008.23, 18149.33, 17969.54, 18068.21
06/14/24, 18267.68, 18304.79, 17951.17, 18002.02
06/13/24, 18632.01, 18632.01, 18253.42, 18265.68
06/12/24, 18368.52, 18651.70, 18368.52, 18630.86
06/11/24, 18497.85, 18543.04, 18281.56, 18369.94
06/10/24, 18550.33, 18550.33, 18359.42, 18494.89
06/07/24, 18649.08, 18649.08, 18424.60, 18557.27
06/06/24, 18576.58, 18784.65, 18576.58, 18652.67
06/05/24, 18406.06, 18624.36, 18406.06, 18575.94
06/04/24, 18608.30, 18608.30, 18365.53, 18405.64
06/03/24, 18503.79, 18697.09, 18503.79, 18608.16
05/31/24, 18495.22, 18542.27, 18426.72, 18497.94
05/30/24, 18465.47, 18531.85, 18394.43, 18496.79
05/29/24, 18677.70, 18677.70, 18438.01, 18473.29
05/28/24, 18775.55, 18855.05, 18635.04, 18677.87
05/27/24, 18703.13, 18775.13, 18680.81, 18774.71
05/24/24, 18687.60, 18706.65, 18515.84, 18693.37
05/23/24, 18682.48, 18766.68, 18639.17, 18691.32
05/22/24, 18731.65, 18731.65, 18642.20, 18680.20
05/21/24, 18768.64, 18768.64, 18638.14, 18726.76
05/20/24, 18710.13, 18804.00, 18710.13, 18768.96
05/17/24, 18713.25, 18724.02, 18627.91, 18704.42
05/16/24, 18874.85, 18890.78, 18716.33, 18738.81
05/15/24, 18719.81, 18892.92, 18719.81, 18869.36
05/14/24, 18735.84, 18748.76, 18629.03, 18716.42
05/13/24, 18773.24, 18799.77, 18706.08, 18742.22
05/10/24, 18686.85, 18845.86, 18686.85, 18772.85
05/09/24, 18498.09, 18699.29, 18488.04, 18686.60
05/08/24, 18430.25, 18542.10, 18427.26, 18498.38
05/07/24, 18175.21, 18442.40, 18175.21, 18430.05
05/06/24, 18001.13, 18199.15, 18001.13, 18175.21
05/03/24, 17900.15, 18105.82, 17900.02, 18001.60
05/02/24, 17935.78, 17981.04, 17875.98, 17896.50
04/30/24, 18119.93, 18153.69, 17920.72, 17932.17
04/29/24, 18162.15, 18235.80, 18103.43, 18118.32
04/26/24, 17920.73, 18199.71, 17920.73, 18161.01
04/25/24, 18088.17, 18100.75, 17795.96, 17917.28
04/24/24, 18140.19, 18226.32, 18060.26, 18088.70
04/23/24, 17861.20, 18144.66, 17861.20, 18137.65
04/22/24, 17738.04, 17889.47, 17738.04, 17860.80
04/19/24, 17834.83, 17834.87, 17626.90, 17737.36
04/18/24, 17775.41, 17863.32, 17716.92, 17837.40
04/17/24, 17764.03, 17907.58, 17731.79, 17770.02
04/16/24, 18022.17, 18022.69, 17713.50, 17766.23
04/15/24, 17937.62, 18191.95, 17937.62, 18026.58
04/12/24, 17965.95, 18162.56, 17860.73, 17930.32
04/11/24, 18096.51, 18101.31, 17864.69, 17954.48
04/10/24, 18078.89, 18239.50, 17975.84, 18097.30
04/09/24, 18318.40, 18318.51, 18058.22, 18076.69
04/08/24, 18163.39, 18326.37, 18163.39, 18318.97
04/05/24, 18401.83, 18401.83, 18088.03, 18175.04
